lbutton_id;name;lang
gXAL9sETXFQzzgcxh;Huijausviesti;fi
nuQauuRqKwvDebpxp;Hei-maksutavat;fi
NRQJdGzkuWFxT2xSP;Whirlpool / Electrolux;fi
ibTvFm2gjfb7sJgxF;Intempéries/Neige;fr
XztaGnNWuY8CuApm9;Teste - não usar;pt
yTCqTzzveKjbtguXb;Termín;cs
yTCqTzzveKjbtguXb;Termín;sk
y3NFpnzjPpv3TnNDg;Llamada no finalizada;es
i3LQ7SkTAXBHcN4hm;Modelo 347;es
9Jeme2pBtEtDAdD3Z;Ny hyllestøtte til HEMNES;nb
9L7F763d59NGt3rCq;교환환불_단순변심;ko
xGw4m4kSa5znjauhQ;Panele Fotowoltaiczne;pl
YgJjnL236S4XLhDf2;Diritto di restituzione (365 giorni) - cambio di opinione;it-SW
HhukFkc3cSJ9ZBipk;Transfer Aftersales;nl
HhukFkc3cSJ9ZBipk;Transfer Aftersales;fr-BE
mCPyzHsH5zvuNgAvT;Cena;cs
y4GhpvRPpwB4aCaLs;DPD ohne Abstellgenehmigung;de-SW
zQ2wgiQ7Z74DFLjCB;PUSH platba;cs
mCPyzHsH5zvuNgAvT;Cena;sk
47TdtAa7QthYDrGL5;Transfer Transport;nl
47TdtAa7QthYDrGL5;Transfer Transport;fr-BE
ywj6FR5YBC5iMPSwE;NEW WEB;sr
bvEKb94uNCmSBA8AM;Svindel;nb
gvrCEubhgXYhm6s2Q;미해결 상담 재문의;ko
P4XqTj84SP7F2CvtL;PAYBYLINK;ro
L9wsRrt8NEdmx7BHJ;KITCHEN CAMPAIGN;ro
bAugWauYrook33Rfm;KITCHEN CAMPAIGN;en-US
8NYmXg7tWQuhZpPck;KITCHEN CAMPAIGN;en-AU
tCHpPHJPXFfL89fMf;IKEA Westbahnhof;de-AT
aWTRrvhTsZ7ZpfBsp;Krebsessenfest;de-AT
AmuhuYgKn74sPY7Su;COMBO;sr
G5M8GW3G7zJscuzeC;CENA;sr
K22cnmnMudw9jHBY2;PAY BY LINK;sr
XzoAP3pHtFdDQEhQn;PRET;ro
9sswij7Cmd9DMhhqF;IKEA Planning Studio;da
FMjMeZu2AKQjMuudm;Nová stránka IB;cs
FMjMeZu2AKQjMuudm;Nová stránka IB;sk
CXcd2uq9zbcK9qmuZ;Transportcall;nl
CXcd2uq9zbcK9qmuZ;Transportcall;fr-BE
p3dYwbBu7uWHkh7i8;Returns & exchanges policy;en-AU
PMvg7iHvcov7JenpA;SOFE;sr
XkYZ9PAMjEe7AoHpL;Parcel only;de-AT
M6jGF3ojNj6tydcx5;KLARNA;de-AT
6SNDWiRTgGsbzRu6o;IVR Telefonanlage;de-AT
GoWQ6GoNfwc3SbwNP;Test lokal knapp;sv
nC9susxCLX4S5iGqy;NEW WEB;sr
y4GhpvRPpwB4aCaLs;DPD sans autorisation de dépôt;fr-SW
kExEb3dLeQqM9aFPH;Mersalg av produkt eller tjeneste;nb
uC2dGQfiy8Zo4taKm;ISOM;sr
amnexr2pap7CYzPfp;미드솜마르 세일;ko
y4GhpvRPpwB4aCaLs;DPD senza autorizzazione al recapito;it-SW
mJ6dZBW7CRPt5MQtz;Hårde hvidevarer;da
noMsYJwB5wc3AJm9c;Katalog;de-AT
zQ2wgiQ7Z74DFLjCB;PUSH platba;sk
yssJTyKSR7Y5nLjhR;Recruitments for Mumbai;en-US
5uY3ZYNhGc5TbH596;Auslandsanfrage;de-SW
5uY3ZYNhGc5TbH596;Demande de l’étranger;fr-SW
5uY3ZYNhGc5TbH596;Richieste dall’estero;it-SW
aYnAK7iENyZPwtBcL;Verkaufsberatung;de-SW
aYnAK7iENyZPwtBcL;Conseil à la vente;fr-SW
aYnAK7iENyZPwtBcL;Consulenza di vendita;it-SW
YgJjnL236S4XLhDf2;Rückgaberecht (365 Tage) mit Meinungsänderung;de-SW
YgJjnL236S4XLhDf2;Droit de retour (365 jours) - changement d’avis;fr-SW
Bk3aXbZLLiXyiey6Y;Express Premium;de-SW
Bk3aXbZLLiXyiey6Y;Express Premium;fr-SW
Bk3aXbZLLiXyiey6Y;Express Premium;it-SW
PPGjoH8gjotoZj8a9;Időpont;hu
v3h7B4rZpp7Ha5LcN;Abandoned Call;en-US
qPZGxxh72pbfEc2aw;Covershooting;de-AT
o6g6xw8LmwzQr4WsG;That's decided;de-SW
o6g6xw8LmwzQr4WsG;That's decided;fr-SW
o6g6xw8LmwzQr4WsG;That's decided;it-SW
yczYPufqs5s2dJDRm;POP UP STORE iSELL orders;sr
v2Sz8ddmsjDEJGsTM;Grupa MULTI;pl
sbmgdPbiqwYbe3TwQ;BATIBOUW;nl
8JyGHAXcEGSYyqyn9;Fel samtal;sv
v54Ae6WKMkwb9L47w;Lipsa Campanie Pallady;ro
af9wXDP4gfbsCWgbE;Campanie Saltele;ro
sbmgdPbiqwYbe3TwQ;BATIBOUW;fr-BE
eDyisaGgoXhcvbSGm;Livrare inainte de termen;ro
X9ZAJXzFGufNqY7wH;Adventskalender;de-AT
5rT6wttmvte7CieuZ;Non IKEA / Others;en-US
Ei7RibYi59cyvZYoN;Julbord;sv
Jnir5koLkmQoewcTC;Küchenaktion;de-AT
2XiX28LG9iHM4Eg5L;IKEA US Customers;fr-CA
BKtFCtKvHxBJhFo99;0% Kitchen Campaign;nl
BKtFCtKvHxBJhFo99;0% Kitchen Campaign;fr-BE
YE9FtMpgQzsQ79Fc5;#ProgramadaCristina;pt
v7Eh8kwEvasrcRtZ4;COMBO;hr
Qt45pjLB5xikZNx7K;MADRACI KAMPANJA;hr
fw6h8NCFpGruhgG8E;MADRACI KAMPANJA;sr
KytvRyk9yyLcXQJvx;Activité Noël;fr
J7itu8SbE3exiNbch;Electrolux;da
jgoKXJ95ChHZFe6rt;SOFA kampanja;hr
b5jz9SzMFCuvouwwF;SOGE kredit;sr
okuhrHE3v7jTzNEZx;250/50 activity;de-SW
rX7JXXGWSy4ncbz9S;SYMFONISK;fr
okuhrHE3v7jTzNEZx;250/50 activity;fr-SW
CX3sMYqcuJddHifSS;PAX akcija;hr
FG4fuZRExWXPskQkR;Información Sobre Servicios;es
jJzQif5Ej4pTF6453;ОНЛАЙН;ru
ujX7NM9camq47cqty;MARKERAD Kollektion;de-SW
apBAsFB8LDtMWigqk;PAY BY LINK;hr
5ywyciSJvYDfxinSw;Launch in other Cities;en-US
w93eKK4boZPppRiYa;Ár;hu
gWRfPANdmqwDRAQsM;承运商及商场来电;zh
mKyswqNrP8ZNQTfnx;Sapin-Saumon;fr
db2W3CzkC7h3Er79L;Feldkirch-Oberwang;de-AT
wjhrg59QBRkuce2pH;COMBO;hr
ujX7NM9camq47cqty;MARKERAD Collection;fr-SW
kdzbWJ22pj2K2Kx3m;Return Policy;de
8pie76TsEDvDu7EPy;-;ru
Eb9CuQczXyhqpfnxY;Kunde hat selbst transportiert;de
QR84MgKWPtN3CaoXW;AT / NL / NM;de
8jaMegKaNytcHAinD;Test 2;de
ujX7NM9camq47cqty;MARKERAD Collezione;it-SW
u3KjWRi2m5CTq5hTR;KCI: Track & Trace issue;nl
u3KjWRi2m5CTq5hTR;KCI: Track & Trace issue;fr-BE
cRAFLeZzj67r73EzS;Basis Analyse;de-SW
cRAFLeZzj67r73EzS;Basis Analysis;fr-SW
cRAFLeZzj67r73EzS;Basis Analysis;it-SW
StKuJff5qPkacLgv9;대체품 제안;ko
f693Eoxe4PJcottkJ;IKEA FAMILY – vaučer 10%;en-GB
Kw9MCR9orY7ptmP86;ISOM Offene Bestellungen;de-SW
Kw9MCR9orY7ptmP86;ISOM Commandes Ouvertes;fr-SW
Kw9MCR9orY7ptmP86;ISOM Ordini Aperti;it-SW
3hdhXBqP6yaARH5QA;IKEA Design;es
3di6cbEM7r9gRXr2H;Contacto caiu;pt
uogHGX7JmMLHefBFn;IKEA Art Event;de-AT
R5SnJza4dWCFWMRQH;TV Design Dream;de-AT
P4z5ZsLjPSfEEtp7p;N° isell / Info sécurisation Carte de Paiement;fr
5fuDjxgzEvqJB7Jov;ISOM Multi-Pakete;de-AT
kaSmn2j8iES9mSBKi;CHANGE OF MIND;en-AU
SoW2irxru63pA5ra2;PopUp Webseite;de
AXWPo8m6GaRkjLPLx;Bonusprogramm FAMILY;de-AT
3aFnrmSA94jF8g45F;Levertijden;nl-NL
nrKyGNcmhPfpGipgB;Track & Trace;de-SW
nrKyGNcmhPfpGipgB;Track & Trace;fr-SW
nrKyGNcmhPfpGipgB;Track & Trace;it-SW
QmcvCdHafD2YjQJHi;改变主意;zh
6gzdxedsMe6ednZzm;IKEA Collect Abholbox;de-SW
6gzdxedsMe6ednZzm;IKEA Collect casiers de retraits;fr-SW
6gzdxedsMe6ednZzm;IKEA Collect punto di ritiro;it-SW
DNgNqZp2grLnMRLJN;Büromöbel - Miete;de-SW
DNgNqZp2grLnMRLJN;Location mobilier de bureau;fr-SW
DNgNqZp2grLnMRLJN;Affitto mobili per ufficio;it-SW
u2oswXiCuHjpchdMm;RASPRODAJA;en-CA
in6aRiBtqsqCWb3fc;iDeal storing;nl-NL
GgL3Gjn29ZvmcRgYY;Ecomm Mumbai;en-US
4o9qzTPw66W2oRK9s;Chatbot;de-AT
kx75wD7enqPDvAseM;退款;zh
pg436A82tbYT7RG9q;Selbstbedienungs Montage;de-SW
CrFN5ukKjKeym4nuy;tags;fr
5ot9hay5PATvCw9vE;Popup Louvain;fr-BE
5ot9hay5PATvCw9vE;Popup Leuven;nl-NL
4pdbM527nc9YXZfxR;SMS Benachrichtigung verwirrt;de-AT
rw56GXDZkZvcW5vyx;DPD hat nicht angeläutet;de
8RMkyysGFtp3FNK5t;Kopplade Samtal;sv
fn8HLmpSwDcuLcD35;PAX Akcija;sr
eHezuTGXRRKRwLLWe;MARKERAD Gewinnspiel;de-AT
orysQF4zLSEY8pvZv;Black Friday;nl
orysQF4zLSEY8pvZv;Black Friday;fr-BE
6Y2Etf2SrBk9aQfrx;Curbside;de-SW
6Y2Etf2SrBk9aQfrx;Curbside;fr-SW
6Y2Etf2SrBk9aQfrx;Curbside;it-SW
RNEbt4ngs4DcniSSi;Cancellazione tempi consegna lunghi;it
xqyjg2hi3azHugaCq;Godt Nyttår;nb
pbu5dqvxNFrjzN5Zf;Plánovanie Košice;sk
LHdxujpYYWdAqW5Ks;TROLIGTVIS;de-SW
LHdxujpYYWdAqW5Ks;TROLIGTVIS;fr-SW
LHdxujpYYWdAqW5Ks;TROLIGTVIS;it-SW
YaHdihAghDy5GkJDQ;Cancellazione paura contagio;it
PJPpH82W4qrfbqbMn;Cancellazione consegna/montaggio date diverse;it
LM8C2PE89qP5B9Ptu;PrintOnDemand / Paket nicht erhalten;de-AT
zW2r6uN4MoAeHGRHX;Smart Lighting TRÅDFRI;de-AT
2CxQLs8yLp8P9uYRX;CETELEM;fr
QdQwPTcSspPMC8Qnp;Home furnishing servis;hr
kx2oP46JJrPpjDf4X;IKEA Home Design;ro
stcCHpFEFj9GQLiny;eVoucher;pl
okuhrHE3v7jTzNEZx;250/50 activity;it-SW
hLMBuTPKfBQqkHMHK;IKEA Family keys;es
EodGwKtSCTn5Cqs9b;CLICK & DELIVER;nl
tc2ycLNkGenpreLFZ;CBLIV;fr
rBjEdKfje7CXaYmK7;Emergency Messenger;cs
65qpvkLLd5rADprGg;test dato;de-SW
L8TEYX8zsi4TH4ETP;Coronavirus;es
3XK8bzrEa5TaqGZJr;Webseite - Profil - Login nicht möglich / Fehler;de-AT
KpwsD2ZmGnn3cLeZc;Warenkorb - PLZ nicht vorhanden;de-AT
3fDgG3J6xezPkMBms;Webseite - Lieferkosten Parcel/Spedition falsch;de-AT
6oAxMquiNXhfx6Xbv;CORONA;nl
6oAxMquiNXhfx6Xbv;CORONA;fr-BE
TqawuiLn8dDGeyaJR;COVID  19;pt
h2ryEW89taTKhqjeh;Corona: Vraag over winkels;nl-NL
4sFEc4D8ScL356B5b;Corona: vraag over afhandeling services;nl-NL
JZjhJ72RptXZ9jwmP;Corona: Andere vraag;nl-NL
PhWc93wbnKgwnWqJc;Corona-Status - Frage zu IKEA;de-AT
AiaiTuhE563uCFfXy;Warenkorb - PLZ Fehler;de-AT
CkqhMrfpWyx7H4xGy;Warenkorb - Artikel Fehler;de-AT
Qhq8hgiHCp3xWQqz2;Venta Telefónica;es
xQGuD6bjaCnkARDYy;コロナウイルス関連;ja
kaSmn2j8iES9mSBKi;Client Razgandit;ro
EodGwKtSCTn5Cqs9b;CLICK & DELIVER;fr-BE
5KekPRRCPbDKTzecm;ONLINE PLANIRANJE;hr
v5GkZBosKxhQSg3MD;Planificare online;ro
pg436A82tbYT7RG9q;Montage en Libre-service;fr-SW
pg436A82tbYT7RG9q;Montaggio Self-Service;it-SW
X5bSEb2rj8eF2LLXP;Paket Express Lieferung;de-SW
X5bSEb2rj8eF2LLXP;Livraison express de colis;fr-SW
X5bSEb2rj8eF2LLXP;Consegna pacchi espresso;it-SW
wKYyZG9aicGpzh29Z;COVID Misure di sicurezza;it
C4o6PsMWWJubYHuGi;Kerstbomen;nl
cK4mnhvETcLrArrcC;Koronavírus;hu
wqy5v8uzXfner8dDm;Corona;nl-NL
97mosMGgcukotNLPg;COVID Appuntamento in store;it
cehnmbSPXbAaR8gTy;COVID Coda / Attesa;it
a2LPG3EDeagA97bgx;Nye fraktpriser;nb
uCKDDe34ZXzJTZMPH;Tog ulykke Bergensbanen;nb
KeEWTDjk4rZpexSgH;Solden;nl
KeEWTDjk4rZpexSgH;Soldes;fr-BE
Yr3dr574W3fKrHTjb;B2B Interio Service;de-SW
Yr3dr574W3fKrHTjb;B2B Interio Service;fr-SW
Yr3dr574W3fKrHTjb;B2B Interio Service;it-SW
nj6soFd8JkAs8hjGD;Covid-19-relaterte spørsmål;nb
8ZvQwxzzTuPcJdEXQ;Click & Collect in deiner Nähe / Near you;de-AT
KLBtXWsBnqapMR5nn;Lieferschein fehlt;de-AT
4cBwKEYyc8HtMbRsk;DPD Paketshop;de-AT
6xfvETdoDvctMSXiC;Parcel Preis;de-AT
LdmHaEN4fbyzPQqkt;Omstrukturering IKEA Sørlandet;nb
e5G77xtQWA4Zfkov6;Buy back & Resell;nl-NL
EsvTXxeJi3g3Xe4FP;Chauffør;da
ALnrzM5YpvWJcojwt;Blockierte Order storniert / Beschwerde;de-AT
jFcHsNs75ifpdn9GS;Maskenpflicht;de-AT
66AyGJ9inA8oCBfKg;TSP;de-SW
66AyGJ9inA8oCBfKg;TSP;fr-SW
66AyGJ9inA8oCBfKg;TSP;it-SW
oYA98wFpQd6JzASSg;Black Friday;sv
AwuWWc4XA2DGTPEqT;Payment;de-SW
AwuWWc4XA2DGTPEqT;Payment;fr-SW
AwuWWc4XA2DGTPEqT;Payment;it-SW
C4o6PsMWWJubYHuGi;Sapins de Noel;fr-BE
6n6gggCeLpETqd6Bb;Transfer Anruf;de-SW
6n6gggCeLpETqd6Bb;Transfert d'appel;fr-SW
6n6gggCeLpETqd6Bb;chiamata di trasferimento;it-SW
xDGDPJipRcBdPDjBr;Réclamations Click & Collect;fr
M7vshrgHkGTeRwusd;Elektronikus (online) ajándékkártya;hu
rjazYdpuDyRnTmgna;Blue Bag Delivery;nl-NL
unJYWk7Woa4X5yPcZ;Dostawa bez wniesienia;pl
rni6PqHrFMefPSbN9;Termín;sk
z3ioKfjrmaM4hAee2;Cena;sk
XydAgkMTsgjZRQw75;Otthonfelújítási program;hu
3JkFMnPzZSdi2PsMr;Rezerváció;hu
vxxBK3ks42cqDfpgK;FCR senza SAC;it
jjFwyCrbcyAqgtCfq;Spletno načrtovanje;sl
Wf9BharcbTN4W4yte;셀프 반품;ko
tLv6oL4atMeFkzthm;Kunde nicht angetroffen;de
JmWMqzgQ2hW4LScnP;Erstattungen;de
ZsMWwZuwhXna5a3BR;Winkelen op afspraak;nl-NL
EmjFa4sJ6Zft6efNr;Self services Online;sv
whZbWpJ5x7QhYiNsT;Returnlabel;de-AT
88rMWQHH6LFTWWjTd;Outdoor sale;nl
XvaJKbLhEwYSDXTSi;-;ru
z9ycRxR9wnCnrfM4B;HEROISK i TALRIKA;hr
v9znRShbHMrfhTWED;IKEA FAMILY Blok;sk
nuvZBSQSJon2JHmqQ;IKEA FAMILY vásárlás - blokk nem találja;hu
vcboZ89uz5aSpxqhd;TelePeformance - Proactive chat;sv
ceQy2WiqsgEuRsnop;Kunde finner ikke kvittering på IKEA.no;nb
7AvFtQdPWcb94rzxf;Samarbeidspartnere og varehus;nb
duC6QxssgtmdpS9B9;test;sk
8nAm8Y8KMsM3mYvFX;Overstromingen;nl
8nAm8Y8KMsM3mYvFX;Inondations;fr-BE
cxN4WXaEcFWmwD4vo;Validatiebutton Keuken;nl-NL
2KztDvrX9iWopnkCa;Gratis pakketlevering boven 20,- €;nl
snHBGhMv35jFuL3yN;Pass Sanitaire;fr
Af6Jj6dsinuhsgPuS;Cores variadas (teste);pt
psEdbNfmdMedGxv72;PAX Lagerstand Lieferschwierigkeiten;de-AT
SHKMCtjJanZoaTTZC;Online Meubelmontage;nl-NL
